postcode,suburb,state,abbrev_state,lat,lon,zone
3000,Melbourne,Victoria,VIC,-37.814,144.9633,4
3001,Melbourne,Victoria,VIC,-37.814,144.9633,4
3002,East Melbourne,Victoria,VIC,-37.8167,144.9879,4
3003,West Melbourne,Victoria,VIC,-37.8101,144.95,4
3004,Melbourne,Victoria,VIC,-37.814,144.9633,4
3004,St Kilda Road Central,Victoria,VIC,-37.814,144.9633,3
3004,St Kilda Road Melbourne,Victoria,VIC,-37.814,144.9633,3
3005,World Trade Centre,Victoria,VIC,-37.8152,144.9632,1
3006,South Wharf,Victoria,VIC,-37.8253,144.9522,4
3006,Southbank,Victoria,VIC,-37.8228,144.9643,4
3008,Docklands,Victoria,VIC,-37.8149,144.9505,4
3010,University Of Melbourne,Victoria,VIC,-37.7958,144.9612,1
3011,Seddon,Victoria,VIC,-37.8061,144.8907,4
3011,Seddon West,Victoria,VIC,-37.7995,144.8963,3
3011,Footscray,Victoria,VIC,-37.8,144.9,4
3012,Maidstone,Victoria,VIC,-37.7803,144.8735,4
3012,Tottenham,Victoria,VIC,-37.7985,144.8626,4
3012,West Footscray,Victoria,VIC,-37.7975,144.8773,4
3012,Brooklyn,Victoria,VIC,-37.8161,144.8415,4
3012,Kingsville,Victoria,VIC,-37.8082,144.8791,4
3013,Yarraville,Victoria,VIC,-37.8167,144.9,4
3013,Yarraville West,Victoria,VIC,-37.8249,144.8708,3
3015,Newport,Victoria,VIC,-37.8443,144.8848,4
3015,Spotswood,Victoria,VIC,-37.8298,144.8852,4
3015,South Kingsville,Victoria,VIC,-37.8302,144.8709,4
3016,Williamstown North,Victoria,VIC,-37.8552,144.8826,4
3016,Williamstown,Victoria,VIC,-37.857,144.8977,4
3018,Seaholme,Victoria,VIC,-37.864,144.845,4
3018,Altona,Victoria,VIC,-37.8696,144.8304,4
3019,Braybrook,Victoria,VIC,-37.7867,144.8548,4
3019,Robinson,Victoria,VIC,-37.7867,144.8548,3
3020,Sunshine West,Victoria,VIC,-37.7912,144.8164,4
3020,Albion,Victoria,VIC,-37.7667,144.8333,4
3020,Glengala,Victoria,VIC,-37.775,144.8333,3
3020,Sunshine North,Victoria,VIC,-37.7699,144.8279,4
3020,Sunshine,Victoria,VIC,-37.7833,144.8333,4
3021,Albanvale,Victoria,VIC,-37.7461,144.7686,4
3021,St Albans,Victoria,VIC,-37.745,144.8005,4
3021,Kealba,Victoria,VIC,-37.7371,144.8283,4
3021,Kings Park,Victoria,VIC,-37.734,144.7777,4
3022,Deer Park East,Victoria,VIC,-37.7764,144.8016,3
3022,Ardeer,Victoria,VIC,-37.7759,144.8014,4
3023,Deer Park,Victoria,VIC,-37.7667,144.7833,4
3023,Ravenhall,Victoria,VIC,-37.7655,144.751,4
3023,Deer Park North,Victoria,VIC,-37.7541,144.7651,3
3023,Burnside,Victoria,VIC,-37.7494,144.753,4
3023,Cairnlea,Victoria,VIC,-37.7593,144.7878,4
3023,Burnside Heights,Victoria,VIC,-37.7269,144.7523,4
3023,Caroline Springs,Victoria,VIC,-37.7412,144.7363,4
3024,Wyndham Vale,Victoria,VIC,-37.8415,144.541,4
3024,Mount Cottrell,Victoria,VIC,-37.8167,144.5833,4
3024,Mambourin,Victoria,VIC,-37.8755,144.5032,4
3025,Altona North,Victoria,VIC,-37.8349,144.8474,4
3025,Altona Gate,Victoria,VIC,-37.8349,144.8474,3
3025,Altona East,Victoria,VIC,-37.8349,144.8474,3
3026,Laverton North,Victoria,VIC,-37.8205,144.8159,4
3027,Williams Landing,Victoria,VIC,-37.8619,144.7437,4
3028,Altona Meadows,Victoria,VIC,-37.8841,144.7837,4
3028,Laverton,Victoria,VIC,-37.862,144.7698,4
3028,Seabrook,Victoria,VIC,-37.8809,144.7587,4
3029,Truganina,Victoria,VIC,-37.8167,144.75,4
